Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
VALUE,,"Loudoun County, Virginia!!Percent",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Percent","80,627"
"    Less than $50,000","7,522","Loudoun County, Virginia!!Percent",1.3%
"    $50,000 to $99,999","9,155","Loudoun County, Virginia!!Percent",1.1%
"    $100,000 to $149,999","4,362","Loudoun County, Virginia!!Percent",2.6%
"    $150,000 to $199,999","5,612","Loudoun County, Virginia!!Percent",2.7%
"    $200,000 to $299,999","16,502","Loudoun County, Virginia!!Percent",13.1%
"    $300,000 to $499,999","70,855","Loudoun County, Virginia!!Percent",38.3%
"    $500,000 to $999,999","161,903","Loudoun County, Virginia!!Percent",37.5%
"    $1,000,000 or more","67,044","Loudoun County, Virginia!!Percent",3.4%
    Median (dollars),"639,400","Loudoun County, Virginia!!Percent",(X)
MORTGAGE STATUS,,"Loudoun County, Virginia!!Percent",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Percent","80,627"
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Percent",90.3%
    Housing units without a mortgage,"86,679","Loudoun County, Virginia!!Percent",9.7%
SELECTED MONTHLY OWNER COSTS (SMOC),,"Loudoun County, Virginia!!Percent",
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Percent","72,843"
    Less than $300,441,"Loudoun County, Virginia!!Percent",0.0%
    $300 to $499,"1,586","Loudoun County, Virginia!!Percent",0.6%
    $500 to $699,"2,152","Loudoun County, Virginia!!Percent",0.3%
    $700 to $999,"4,788","Loudoun County, Virginia!!Percent",2.2%
"    $1,000 to $1,499","16,484","Loudoun County, Virginia!!Percent",6.5%
"    $1,500 to $1,999","28,710","Loudoun County, Virginia!!Percent",10.7%
"    $2,000 or more","202,115","Loudoun County, Virginia!!Percent",79.8%
    Median (dollars),"2,994","Loudoun County, Virginia!!Percent",(X)
    Housing units without a mortgage,"86,679","Loudoun County, Virginia!!Percent","7,784"
    Less than $100,"1,051","Loudoun County, Virginia!!Percent",0.8%
    $100 to $199,"3,040","Loudoun County, Virginia!!Percent",1.2%
    $200 to $299,"8,855","Loudoun County, Virginia!!Percent",4.6%
    $300 to $399,"14,202","Loudoun County, Virginia!!Percent",4.3%
    $400 or more,"59,531","Loudoun County, Virginia!!Percent",89.2%
    Median (dollars),539,"Loudoun County, Virginia!!Percent",(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Loudoun County, Virginia!!Percent",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Loudoun County, Virginia!!Percent","72,843"
    Less than 20.0 percent,"61,314","Loudoun County, Virginia!!Percent",29.7%
    20.0 to 24.9 percent,"37,831","Loudoun County, Virginia!!Percent",19.1%
    25.0 to 29.9 percent,"31,228","Loudoun County, Virginia!!Percent",16.0%
    30.0 to 34.9 percent,"27,748","Loudoun County, Virginia!!Percent",11.2%
    35.0 percent or more,"97,215","Loudoun County, Virginia!!Percent",24.0%
    Not computed,940,"Loudoun County, Virginia!!Percent",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Loudoun County, Virginia!!Percent","7,734"
    Less than 10.0 percent,"43,387","Loudoun County, Virginia!!Percent",50.7%
    10.0 to 14.9 percent,"14,242","Loudoun County, Virginia!!Percent",21.2%
    15.0 to 19.9 percent,"8,796","Loudoun County, Virginia!!Percent",6.6%
    20.0 to 24.9 percent,"5,781","Loudoun County, Virginia!!Percent",4.4%
    25.0 to 29.9 percent,"2,687","Loudoun County, Virginia!!Percent",1.5%
    30.0 to 34.9 percent,"2,337","Loudoun County, Virginia!!Percent",1.4%
    35.0 percent or more,"7,889","Loudoun County, Virginia!!Percent",14.2%
    Not computed,"1,560","Loudoun County, Virginia!!Percent",(X)
GROSS RENT,,"Loudoun County, Virginia!!Percent",
    Occupied units paying rent,"250,980","Loudoun County, Virginia!!Percent",N
    Less than $200,"1,021","Loudoun County, Virginia!!Percent",N
    $200 to $299,"5,127","Loudoun County, Virginia!!Percent",N
    $300 to $499,"5,300","Loudoun County, Virginia!!Percent",N
    $500 to $749,"13,324","Loudoun County, Virginia!!Percent",N
    $750 to $999,"26,134","Loudoun County, Virginia!!Percent",N
"    $1,000 to $1,499","90,157","Loudoun County, Virginia!!Percent",N
"    $1,500 or more","109,917","Loudoun County, Virginia!!Percent",N
    Median (dollars),"1,418","Loudoun County, Virginia!!Percent",(X)
    No rent paid,"5,300","Loudoun County, Virginia!!Percent",(X)
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Loudoun County, Virginia!!Percent",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Loudoun County, Virginia!!Percent","21,113"
    Less than 15.0 percent,"36,283","Loudoun County, Virginia!!Percent",12.0%
    15.0 to 19.9 percent,"35,384","Loudoun County, Virginia!!Percent",13.6%
    20.0 to 24.9 percent,"29,917","Loudoun County, Virginia!!Percent",14.8%
    25.0 to 29.9 percent,"27,507","Loudoun County, Virginia!!Percent",14.9%
    30.0 to 34.9 percent,"23,888","Loudoun County, Virginia!!Percent",11.4%
    35.0 percent or more,"93,855","Loudoun County, Virginia!!Percent",33.3%
    Not computed,"9,446","Loudoun County, Virginia!!Percent",(X)
HOUSING OCCUPANCY,,"Loudoun County, Virginia!!Percent Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent Margin of Error",±1.9
    Vacant housing units,"32,720","Loudoun County, Virginia!!Percent Margin of Error",±1.9
    Homeowner vacancy rate,1.8,"Loudoun County, Virginia!!Percent Margin of Error",(X)
    Rental vacancy rate,4.1,"Loudoun County, Virginia!!Percent Margin of Error",(X)
UNITS IN STRUCTURE,,"Loudoun County, Virginia!!Percent Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent Margin of Error",(X)
"    1-unit, detached","332,653","Loudoun County, Virginia!!Percent Margin of Error",±2.3
"    1-unit, attached","68,576","Loudoun County, Virginia!!Percent Margin of Error",±2.1
    2 units,"14,314","Loudoun County, Virginia!!Percent Margin of Error",±0.3
    3 or 4 units,"38,225","Loudoun County, Virginia!!Percent Margin of Error",±0.7
    5 to 9 units,"35,293","Loudoun County, Virginia!!Percent Margin of Error",±0.8
    10 to 19 units,"31,079","Loudoun County, Virginia!!Percent Margin of Error",±1.3
    20 or more units,"92,993","Loudoun County, Virginia!!Percent Margin of Error",±1.0
    Mobile home,"18,161","Loudoun County, Virginia!!Percent Margin of Error",±0.5
"    Boat, RV, van, etc.",661,"Loudoun County, Virginia!!Percent Margin of Error",±0.1
YEAR STRUCTURE BUILT,,"Loudoun County, Virginia!!Percent Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Built 2005 or later,"27,044","Loudoun County, Virginia!!Percent Margin of Error",±1.7
    Built 2000 to 2004,"37,364","Loudoun County, Virginia!!Percent Margin of Error",±2.1
    Built 1990 to 1999,"66,881","Loudoun County, Virginia!!Percent Margin of Error",±2.1
    Built 1980 to 1989,"75,301","Loudoun County, Virginia!!Percent Margin of Error",±1.6
    Built 1970 to 1979,"142,515","Loudoun County, Virginia!!Percent Margin of Error",±1.4
    Built 1960 to 1969,"125,418","Loudoun County, Virginia!!Percent Margin of Error",±1.0
    Built 1950 to 1959,"97,176","Loudoun County, Virginia!!Percent Margin of Error",±0.6
    Built 1940 to 1949,"26,180","Loudoun County, Virginia!!Percent Margin of Error",±0.6
    Built 1939 or earlier,"34,076","Loudoun County, Virginia!!Percent Margin of Error",±0.9
ROOMS,,"Loudoun County, Virginia!!Percent Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent Margin of Error",(X)
    1 room,"18,306","Loudoun County, Virginia!!Percent Margin of Error",±0.3
    2 rooms,"25,842","Loudoun County, Virginia!!Percent Margin of Error",±0.8
    3 rooms,"77,744","Loudoun County, Virginia!!Percent Margin of Error",±1.3
    4 rooms,"122,207","Loudoun County, Virginia!!Percent Margin of Error",±1.4
    5 rooms,"113,419","Loudoun County, Virginia!!Percent Margin of Error",±1.5
    6 rooms,"108,419","Loudoun County, Virginia!!Percent Margin of Error",±1.6
    7 rooms,"77,656","Loudoun County, Virginia!!Percent Margin of Error",±1.9
    8 rooms,"46,464","Loudoun County, Virginia!!Percent Margin of Error",±1.6
    9 rooms or more,"41,898","Loudoun County, Virginia!!Percent Margin of Error",±1.8
    Median rooms,5.1,"Loudoun County, Virginia!!Percent Margin of Error",(X)
BEDROOMS,,"Loudoun County, Virginia!!Percent Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent Margin of Error",(X)
    No bedroom,"19,944","Loudoun County, Virginia!!Percent Margin of Error",±0.3
    1 bedroom,"89,100","Loudoun County, Virginia!!Percent Margin of Error",±1.2
    2 bedrooms,"162,836","Loudoun County, Virginia!!Percent Margin of Error",±1.8
    3 bedrooms,"202,224","Loudoun County, Virginia!!Percent Margin of Error",±2.1
    4 bedrooms,"122,330","Loudoun County, Virginia!!Percent Margin of Error",±2.4
    5 or more bedrooms,"35,521","Loudoun County, Virginia!!Percent Margin of Error",±1.5
HOUSING TENURE,,"Loudoun County, Virginia!!Percent Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Owner-occupied,"342,955","Loudoun County, Virginia!!Percent Margin of Error",±1.9
    Renter-occupied,"256,280","Loudoun County, Virginia!!Percent Margin of Error",±1.9
    Average household size of owner-occupied unit,3.01,"Loudoun County, Virginia!!Percent Margin of Error",(X)
    Average household size of renter-occupied unit,2.86,"Loudoun County, Virginia!!Percent Margin of Error",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Loudoun County, Virginia!!Percent Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Moved in 2005 or later,"282,245","Loudoun County, Virginia!!Percent Margin of Error",±2.3
    Moved in 2000 to 2004,"101,772","Loudoun County, Virginia!!Percent Margin of Error",±2.0
    Moved in 1990 to 1999,"101,476","Loudoun County, Virginia!!Percent Margin of Error",±1.5
    Moved in 1980 to 1989,"50,775","Loudoun County, Virginia!!Percent Margin of Error",±1.0
    Moved in 1970 to 1979,"35,403","Loudoun County, Virginia!!Percent Margin of Error",±0.5
    Moved in 1969 or earlier,"27,564","Loudoun County, Virginia!!Percent Margin of Error",±0.3
VEHICLES AVAILABLE,,"Loudoun County, Virginia!!Percent Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent Margin of Error",(X)
    No vehicles available,"31,267","Loudoun County, Virginia!!Percent Margin of Error",±0.9
    1 vehicle available,"168,953","Loudoun County, Virginia!!Percent Margin of Error",±2.2
    2 vehicles available,"249,590","Loudoun County, Virginia!!Percent Margin of Error",±2.2
    3 or more vehicles available,"149,425","Loudoun County, Virginia!!Percent Margin of Error",±2.0
HOUSE HEATING FUEL,,"Loudoun County, Virginia!!Percent Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Utility gas,"401,603","Loudoun County, Virginia!!Percent Margin of Error",±2.2
"    Bottled, tank, or LP gas","8,862","Loudoun County, Virginia!!Percent Margin of Error",±1.1
    Electricity,"178,541","Loudoun County, Virginia!!Percent Margin of Error",±2.1
"    Fuel oil, kerosene, etc.",462,"Loudoun County, Virginia!!Percent Margin of Error",±0.9
    Coal or coke,0,"Loudoun County, Virginia!!Percent Margin of Error",±0.2
    Wood,"1,887","Loudoun County, Virginia!!Percent Margin of Error",±0.5
    Solar energy,850,"Loudoun County, Virginia!!Percent Margin of Error",±0.1
    Other fuel,"1,238","Loudoun County, Virginia!!Percent Margin of Error",±0.2
    No fuel used,"5,792","Loudoun County, Virginia!!Percent Margin of Error",±0.2
SELECTED CHARACTERISTICS,,"Loudoun County, Virginia!!Percent Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Lacking complete plumbing facilities,"3,645","Loudoun County, Virginia!!Percent Margin of Error",±0.4
    Lacking complete kitchen facilities,"6,765","Loudoun County, Virginia!!Percent Margin of Error",±0.5
    No telephone service available,"10,027","Loudoun County, Virginia!!Percent Margin of Error",±0.5
OCCUPANTS PER ROOM,,"Loudoun County, Virginia!!Percent Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent Margin of Error",(X)
    1.00 or less,"551,916","Loudoun County, Virginia!!Percent Margin of Error",±0.7
    1.01 to 1.50,"32,292","Loudoun County, Virginia!!Percent Margin of Error",±0.6
    1.51 or more,"15,027","Loudoun County, Virginia!!Percent Margin of Error",±0.2
VALUE,,"Loudoun County, Virginia!!Percent Margin of Error",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Percent Margin of Error",(X)
"    Less than $50,000","7,522","Loudoun County, Virginia!!Percent Margin of Error",±0.7
"    $50,000 to $99,999","9,155","Loudoun County, Virginia!!Percent Margin of Error",±0.7
"    $100,000 to $149,999","4,362","Loudoun County, Virginia!!Percent Margin of Error",±0.7
"    $150,000 to $199,999","5,612","Loudoun County, Virginia!!Percent Margin of Error",±0.9
"    $200,000 to $299,999","16,502","Loudoun County, Virginia!!Percent Margin of Error",±1.9
"    $300,000 to $499,999","70,855","Loudoun County, Virginia!!Percent Margin of Error",±2.6
"    $500,000 to $999,999","161,903","Loudoun County, Virginia!!Percent Margin of Error",±2.5
"    $1,000,000 or more","67,044","Loudoun County, Virginia!!Percent Margin of Error",±1.1
    Median (dollars),"639,400","Loudoun County, Virginia!!Percent Margin of Error",(X)
MORTGAGE STATUS,,"Loudoun County, Virginia!!Percent Margin of Error",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Percent Margin of Error",±1.3
    Housing units without a mortgage,"86,679","Loudoun County, Virginia!!Percent Margin of Error",±1.3
SELECTED MONTHLY OWNER COSTS (SMOC),,"Loudoun County, Virginia!!Percent Margin of Error",
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Percent Margin of Error",(X)
    Less than $300,441,"Loudoun County, Virginia!!Percent Margin of Error",±0.3
    $300 to $499,"1,586","Loudoun County, Virginia!!Percent Margin of Error",±0.6
    $500 to $699,"2,152","Loudoun County, Virginia!!Percent Margin of Error",±0.2
